termo,Team-Based,Competitive,PvP,FPS,Shooter,Military,Free to Play,Gore,Violent,Comedy
sucks,0.08734260269303071,0.08813806146700184,0.07998675819511122,0.06415719148934529,0.0639691652532278,0.07830926969714933,0.08315537007761424,0.04349409794506334,0.04259827171760019,0.044496190597953435
ass,0.06589207979749878,0.07155851639553475,0.06511367069498408,0.05608307155666259,0.057262213078576533,0.05758444759639451,0.06495957425945077,0.04988051290449823,0.05288752547107079,0.04394684420353188
kill,0.02619016238197536,0.021908801192402527,0.02342677258256456,0.03939836956409908,0.04050240265162021,0.029430390342326203,0.020821294534000275,0.06983525544450336,0.0684609168668455,0.0573994918287492
trash,0.05132421434692735,0.049438216958506705,0.048124426281823084,0.035638533005080436,0.03398329436375694,0.04406162813658139,0.04253102306070662,0.020154411494498266,0.021474236611492867,0.01580147923622692
stupid,0.02948849226307679,0.02831270685547176,0.030510215441505537,0.02723953727645777,0.02833615569684759,0.0294717558276085,0.033394976827954226,0.024821638524586114,0.02510657928104449,0.03724174278925649
suck,0.03261983631047927,0.036702993166319926,0.032264351814475116,0.024906185841888178,0.02469541857736489,0.03372567916153463,0.026555030814161454,0.016639142267862318,0.01657085708889351,0.015371203183758363
garbage,0.02691664498571398,0.026259978575522036,0.02892618313084207,0.023695101008113468,0.02344405604507359,0.024535929126131794,0.029477669693704446,0.018019595996892148,0.018466333437302487,0.01357028545528282
balls,0.02138641011690102,0.02404342700748382,0.022105671259802475,0.01990736909365985,0.01905362232324458,0.020889645109907963,0.01819984583511889,0.016906937318111673,0.016265559147318136,0.01818395757572447
people,0.012095753516494468,0.011125489974319521,0.011463186661990043,0.0124706154320659,0.012806848605807011,0.011692768195684915,0.007803026903124757,0.024493186689171272,0.026753886469212278,0.02567914350534081
like,0.0120616366703162,0.011245995138106315,0.012408881763279112,0.013775313075831512,0.014021171046049215,0.012087913317805486,0.012593794899504795,0.01636452286687298,0.016621273481823073,0.015936479064233223
good,0.011286353634953842,0.011966827011637482,0.011594302024954992,0.012263579528151249,0.012217240345612472,0.012038148449918436,0.010022065260181666,0.01291828605737954,0.013062922311000305,0.011445644261448727
fun,0.0092563760323812,0.007957682592656804,0.009553672214502896,0.01027946359606683,0.010625132752967777,0.007560171182998077,0.008387489138622334,0.014238188350047433,0.013904574805354697,0.016906752121944566
