tag,n_reviews,n_toxic,toxicity_rate,toxicity_pct
Basketball,61844,2729,0.04412715865726667,4.412715865726667
Football (American),33450,1363,0.0407473841554559,4.07473841554559
MOBA,576182,23270,0.04038654452933275,4.038654452933275
Satire,337815,13278,0.03930553705430487,3.9305537054304867
Sniper,119224,4580,0.03841508421123264,3.841508421123264
Football (Soccer),59598,2231,0.03743414208530488,3.7434142085304876
Hero Shooter,732996,26635,0.03633716964349055,3.633716964349055
Blood,1384435,47010,0.033956090390664787,3.395609039066479
Dark Humor,1446086,46295,0.03201400193349496,3.201400193349496
Gambling,76586,2420,0.031598464471313294,3.1598464471313292
Dark Comedy,489926,15300,0.03122920604336165,3.122920604336165
Party Game,271807,8435,0.031033049185635396,3.1033049185635395
NSFW,507239,15624,0.03080204794978304,3.080204794978304
Social Deduction,118781,3598,0.030291039812764667,3.029103981276467
Modern,861647,25921,0.03008308506847932,3.008308506847932
Cold War,596783,17827,0.029871829458949065,2.9871829458949066
Match 3,95321,2846,0.029857009473253534,2.9857009473253533
World War II,1167259,34455,0.02951787049832128,2.951787049832128
2D Fighter,683131,20146,0.029490683338920354,2.9490683338920354
3D Fighter,329170,9681,0.029410335085214328,2.941033508521433
Team-Based,4785061,140172,0.02929367044641646,2.929367044641646
Chess,41645,1213,0.02912714611598031,2.9127146115980307
Competitive,4469140,129780,0.029039143996384093,2.9039143996384094
eSports,2982463,85639,0.028714186898546604,2.8714186898546603
Pool,10981,315,0.028685912029869774,2.8685912029869773
Illuminati,399421,11440,0.028641458511194956,2.8641458511194955
Hentai,614289,17503,0.028493103408981767,2.849310340898177
Dystopian,858475,24014,0.02797285884853956,2.797285884853956
Naval Combat,541220,15024,0.02775950630058017,2.7759506300580172
Battle Royale,579275,15966,0.027562038755340728,2.756203875534073
Jump Scare,80520,2210,0.027446597118728266,2.744659711872827
Golf,66427,1820,0.027398497598867932,2.739849759886793
Intentionally Awkward Controls,25961,711,0.02738723469820115,2.738723469820115
Tanks,643615,17494,0.02718084569191209,2.718084569191209
