tag,n_reviews,n_toxic,toxicity_rate,toxicity_pct
Team-Based,4785061,140172,0.02929367044641646,2.929367044641646
Competitive,4469140,129780,0.029039143996384093,2.9039143996384094
Gore,5718317,151793,0.026545048132168958,2.654504813216896
FPS,9302848,242991,0.026120065597116066,2.6120065597116064
PvP,7651745,196634,0.025697929034488212,2.569792903448821
Shooter,11000738,281229,0.02556455757786432,2.556455757786432
Free to Play,5665698,141179,0.02491820072301771,2.491820072301771
Violent,5416391,132902,0.024537002590839546,2.4537002590839547
Comedy,4320991,105836,0.02449345532078174,2.449345532078174
Military,4698719,113868,0.024233839052729054,2.4233839052729054
