label,arm,model,bucket,n,prev,auc_pr,auc_roc
count,combined,histgb,1,349286,0.015543136570031436,0.5185624043981366,0.9585869113615053
count,combined,histgb,2-4,202184,0.04591362323428164,0.3601420613349259,0.8824966806290521
count,combined,histgb,5-9,48404,0.10885464011238741,0.3862370231382385,0.8137392298072961
count,combined,histgb,>=10,21017,0.23100347337869345,0.548122855626869,0.7898976773657959
count,combined,lgbm,1,349286,0.015543136570031436,0.5240694890888197,0.9586511207156304
count,combined,lgbm,2-4,202184,0.04591362323428164,0.36084808144230374,0.8836895164029271
count,combined,lgbm,5-9,48404,0.10885464011238741,0.3872796704474694,0.8141244139371588
count,combined,lgbm,>=10,21017,0.23100347337869345,0.5433204475616241,0.7892084024126982
count,combined,linsvc,1,349286,0.015543136570031436,0.5222755476772265,0.9510541469443909
count,combined,linsvc,2-4,202184,0.04591362323428164,0.39401352096323866,0.8865577377961029
count,combined,linsvc,5-9,48404,0.10885464011238741,0.4044324111461475,0.8196640713391421
count,combined,linsvc,>=10,21017,0.23100347337869345,0.48008004672450316,0.7675167660700087
count,combined,logreg,1,349286,0.015543136570031436,0.5207844860412388,0.9554569713111041
count,combined,logreg,2-4,202184,0.04591362323428164,0.35984965997927115,0.8828172440988961
count,combined,logreg,5-9,48404,0.10885464011238741,0.36684591842935105,0.8069449784507599
count,combined,logreg,>=10,21017,0.23100347337869345,0.45897487476037907,0.7551997533724898
count,combined,mlp,1,349286,0.015543136570031436,0.48516892592705,0.9222783779893922
count,combined,mlp,2-4,202184,0.04591362323428164,0.3568185911304041,0.8557542433393769
count,combined,mlp,5-9,48404,0.10885464011238741,0.36349851235240566,0.7886837510212975
count,combined,mlp,>=10,21017,0.23100347337869345,0.5007143176010472,0.7586095265355883
count,combined,svc,1,349286,0.015543136570031436,0.5642578824477735,0.9493722214121282
count,combined,svc,2-4,202184,0.04591362323428164,0.4631488836694043,0.8876462115876392
count,combined,svc,5-9,48404,0.10885464011238741,0.4492623094998077,0.8208566840175667
count,combined,svc,>=10,21017,0.23100347337869345,0.5425431930633453,0.7800834394189318
count,combined,xgb,1,349286,0.015543136570031436,0.5585967378149858,0.9601407880698807
count,combined,xgb,2-4,202184,0.04591362323428164,0.3934188892869615,0.8887290219514119
count,combined,xgb,5-9,48404,0.10885464011238741,0.4090915454978919,0.8170826988047672
count,combined,xgb,>=10,21017,0.23100347337869345,0.5571356977914735,0.7931359760998673
count,content_agnostic+ban,histgb,1,349286,0.015543136570031436,0.01824262690988389,0.5410820300811359
count,content_agnostic+ban,histgb,2-4,202184,0.04591362323428164,0.05482721881192656,0.5550917154948116
count,content_agnostic+ban,histgb,5-9,48404,0.10885464011238741,0.1256348358981713,0.5507699117709492
count,content_agnostic+ban,histgb,>=10,21017,0.23100347337869345,0.2788868997971918,0.5724559624226947
count,content_agnostic+ban,lgbm,1,349286,0.015543136570031436,0.018535318365055172,0.5426638862247528
count,content_agnostic+ban,lgbm,2-4,202184,0.04591362323428164,0.0552282212611661,0.556199504079629
count,content_agnostic+ban,lgbm,5-9,48404,0.10885464011238741,0.12638220954912077,0.553674355162304
count,content_agnostic+ban,lgbm,>=10,21017,0.23100347337869345,0.2788014029398481,0.5713739211798766
count,content_agnostic+ban,linsvc,1,349286,0.015543136570031436,0.017800832436311757,0.5358524967542406
count,content_agnostic+ban,linsvc,2-4,202184,0.04591362323428164,0.05189420253478632,0.5406322880386156
count,content_agnostic+ban,linsvc,5-9,48404,0.10885464011238741,0.1182968564934791,0.5334088142108938
count,content_agnostic+ban,linsvc,>=10,21017,0.23100347337869345,0.26532790014522156,0.5556406675918172
count,content_agnostic+ban,logreg,1,349286,0.015543136570031436,0.017795795229460537,0.535203745830137
count,content_agnostic+ban,logreg,2-4,202184,0.04591362323428164,0.052073175924272776,0.5400362618979262
count,content_agnostic+ban,logreg,5-9,48404,0.10885464011238741,0.11967165019612704,0.5352514537077591
count,content_agnostic+ban,logreg,>=10,21017,0.23100347337869345,0.2681110227464872,0.55714587025726
count,content_agnostic+ban,mlp,1,349286,0.015543136570031436,0.017425813826717627,0.5257882070647675
count,content_agnostic+ban,mlp,2-4,202184,0.04591362323428164,0.05141264892043943,0.5298040838815377
count,content_agnostic+ban,mlp,5-9,48404,0.10885464011238741,0.12198180541847092,0.5352471198143123
count,content_agnostic+ban,mlp,>=10,21017,0.23100347337869345,0.2570043656274327,0.5321570055811071
count,content_agnostic+ban,svc,1,349286,0.015543136570031436,0.01577664397975147,0.496460334943077
