src,label,arm,model,eval,prev,aucpr,aucpr_sd,roc,roc_sd,f1m,f1m_sd,f1p,f1p_sd,precp,precp_sd,recp,recp_sd
MiniLM,count,combined,histgb,REAL,0.04,0.4455,0.0054,0.9282,0.0018,0.7117,0.0019,0.4494,0.0045,0.4049,0.0215,0.5085,0.0372
MiniLM,count,combined,histgb,BALANC,0.5,0.9202,0.0018,0.9279,0.0013,0.8504,0.0016,0.8529,0.0014,0.8394,0.0052,0.8668,0.0062
MiniLM,count,combined,lgbm,REAL,0.04,0.4461,0.0057,0.9287,0.0017,0.7133,0.0021,0.4503,0.003,0.4386,0.0226,0.4648,0.0251
MiniLM,count,combined,lgbm,BALANC,0.5,0.921,0.0015,0.9285,0.0012,0.852,0.0017,0.8556,0.0015,0.8355,0.0055,0.8769,0.0065
MiniLM,count,combined,linsvc,REAL,0.04,0.2997,0.0053,0.8697,0.0011,0.6437,0.0032,0.3173,0.0057,0.3046,0.016,0.3325,0.0185
MiniLM,count,combined,linsvc,BALANC,0.5,0.8596,0.0016,0.8696,0.0012,0.7898,0.0016,0.7951,0.0018,0.776,0.0038,0.8152,0.0063
MiniLM,count,combined,logreg,REAL,0.04,0.2954,0.0054,0.8719,0.0013,0.6411,0.0023,0.3119,0.005,0.3022,0.0079,0.3228,0.0151
MiniLM,count,combined,logreg,BALANC,0.5,0.8594,0.0017,0.8717,0.0012,0.7903,0.0014,0.7973,0.0015,0.7725,0.0028,0.8238,0.0043
MiniLM,count,combined,mlp,REAL,0.04,0.4192,0.0109,0.9099,0.0065,0.7035,0.0058,0.4327,0.011,0.4042,0.0256,0.469,0.0349
MiniLM,count,combined,mlp,BALANC,0.5,0.9062,0.0012,0.9085,0.0012,0.8319,0.0017,0.8334,0.0016,0.8262,0.0043,0.8409,0.0054
MiniLM,count,combined,svc,REAL,0.04,0.4522,0.0069,0.8994,0.0045,0.7168,0.0037,0.4564,0.0069,0.4547,0.0195,0.459,0.0149
MiniLM,count,combined,svc,BALANC,0.5,0.9043,0.0015,0.8992,0.0011,0.8228,0.0009,0.8197,0.0013,0.8345,0.0018,0.8054,0.0033
MiniLM,count,combined,xgb,REAL,0.04,0.4741,0.0041,0.932,0.0017,0.7221,0.0023,0.4677,0.0044,0.4447,0.0158,0.4944,0.0212
MiniLM,count,combined,xgb,BALANC,0.5,0.9257,0.0015,0.9316,0.0011,0.8555,0.0013,0.8588,0.0015,0.8405,0.0052,0.8779,0.0076
MiniLM,count,content_agnostic+ban,histgb,REAL,0.04,0.0701,0.0012,0.6366,0.003,0.5352,0.0012,0.1141,0.0034,0.0998,0.0036,0.1343,0.0136
MiniLM,count,content_agnostic+ban,histgb,BALANC,0.5,0.6274,0.002,0.6361,0.0013,0.5958,0.0005,0.5801,0.0038,0.6046,0.0019,0.5576,0.0086
MiniLM,count,content_agnostic+ban,lgbm,REAL,0.04,0.0704,0.0014,0.6372,0.0031,0.5355,0.0025,0.1157,0.0026,0.1003,0.0073,0.1391,0.017
MiniLM,count,content_agnostic+ban,lgbm,BALANC,0.5,0.6286,0.0019,0.637,0.0011,0.5968,0.0006,0.582,0.0033,0.6052,0.0022,0.5606,0.0079
MiniLM,count,content_agnostic+ban,linsvc,REAL,0.04,0.0631,0.0009,0.6117,0.0024,0.5281,0.0014,0.1018,0.008,0.0876,0.0005,0.1238,0.0252
MiniLM,count,content_agnostic+ban,linsvc,BALANC,0.5,0.6056,0.0016,0.6111,0.0015,0.5784,0.0012,0.5688,0.0017,0.5824,0.0011,0.5558,0.0027
MiniLM,count,content_agnostic+ban,logreg,REAL,0.04,0.0627,0.0008,0.6089,0.0025,0.5276,0.0016,0.1007,0.0097,0.088,0.0045,0.1229,0.0331
