label,arm,model,auc_pr_mean,auc_pr_sd,auc_roc_mean,auc_roc_sd,f1_macro_mean,f1_macro_sd,kappa_mean,recall_pos_mean,precision_pos_mean,baseline_ap
count,combined,histgb,0.4455,0.0054,0.9282,0.0018,0.7121,0.0024,0.4242,0.4625,0.4349,0.04
count,combined,lgbm,0.4461,0.0057,0.9287,0.0017,0.714,0.0024,0.428,0.4775,0.4293,0.04
count,combined,linsvc,0.2997,0.0053,0.8697,0.0011,0.6436,0.0034,0.2873,0.341,0.2975,0.04
count,combined,logreg,0.2954,0.0054,0.8719,0.0013,0.6407,0.0023,0.2814,0.3309,0.2952,0.04
count,combined,mlp,0.4192,0.0109,0.9099,0.0065,0.6876,0.0257,0.3774,0.4602,0.4236,0.04
count,combined,svc,0.4522,0.0069,0.8994,0.0045,0.6892,0.0113,0.3828,0.6131,0.3157,0.04
count,combined,xgb,0.4741,0.0041,0.932,0.0017,0.7193,0.0018,0.4386,0.442,0.48,0.04
count,content,histgb,0.4458,0.0049,0.9282,0.0017,0.7119,0.0026,0.424,0.4733,0.4258,0.04
count,content,lgbm,0.4462,0.0053,0.9287,0.0017,0.713,0.0022,0.426,0.4636,0.437,0.04
count,content,linsvc,0.2869,0.005,0.8587,0.0016,0.6376,0.0023,0.2752,0.2994,0.3087,0.04
count,content,logreg,0.2829,0.0052,0.862,0.0018,0.6331,0.0026,0.2662,0.2948,0.2966,0.04
count,content,mlp,0.431,0.0065,0.915,0.003,0.7063,0.0019,0.4135,0.5311,0.3779,0.04
count,content,svc,0.4522,0.0037,0.8984,0.0026,0.6812,0.0133,0.3686,0.637,0.2965,0.04
count,content,xgb,0.4765,0.0078,0.9324,0.0025,0.7206,0.0036,0.4412,0.444,0.483,0.04
count,content_agnostic,histgb,0.07,0.0008,0.6367,0.0026,0.5341,0.0021,0.0684,0.1089,0.1043,0.04
count,content_agnostic,lgbm,0.0699,0.001,0.6368,0.003,0.5326,0.0009,0.0655,0.0961,0.107,0.04
count,content_agnostic,linsvc,0.0631,0.0009,0.6114,0.0026,0.5282,0.0016,0.0589,0.1328,0.0863,0.04
count,content_agnostic,logreg,0.0626,0.0008,0.6087,0.0024,0.5274,0.0018,0.0566,0.1232,0.086,0.04
count,content_agnostic,mlp,0.0574,0.001,0.5827,0.0026,0.5206,0.0023,0.0418,0.068,0.086,0.04
count,content_agnostic,svc,0.0457,0.0021,0.4869,0.0088,0.5202,0.0012,0.0404,0.0821,0.0778,0.04
count,content_agnostic,xgb,0.0672,0.0008,0.629,0.0029,0.5283,0.0026,0.0573,0.0801,0.1035,0.04
count,content_agnostic+ban,histgb,0.0701,0.0012,0.6366,0.003,0.5347,0.0017,0.0695,0.1098,0.1056,0.04
count,content_agnostic+ban,lgbm,0.0704,0.0014,0.6372,0.0031,0.5329,0.0034,0.0665,0.0916,0.1116,0.04
count,content_agnostic+ban,linsvc,0.0631,0.0009,0.6117,0.0024,0.5281,0.0016,0.0588,0.1344,0.0859,0.04
count,content_agnostic+ban,logreg,0.0627,0.0008,0.6089,0.0025,0.5279,0.0018,0.0565,0.1116,0.0885,0.04
count,content_agnostic+ban,mlp,0.0562,0.0021,0.5797,0.0095,0.519,0.0035,0.0391,0.0619,0.0859,0.04
count,content_agnostic+ban,svc,0.0452,0.002,0.4827,0.0103,0.5199,0.0029,0.0399,0.0796,0.0778,0.04
count,content_agnostic+ban,xgb,0.0673,0.0011,0.6303,0.0035,0.5287,0.0019,0.0578,0.0821,0.1029,0.04
count,content_leavetoxicout,histgb,0.4435,0.0072,0.8294,0.005,0.703,0.004,0.4066,0.3638,0.5172,0.04
count,content_leavetoxicout,lgbm,0.4425,0.0073,0.8292,0.0038,0.7013,0.0028,0.403,0.3737,0.4901,0.04
count,content_leavetoxicout,linsvc,0.0583,0.0004,0.652,0.0036,0.5051,0.0005,0.0156,0.0948,0.0514,0.04
count,content_leavetoxicout,logreg,0.057,0.0004,0.6448,0.0034,0.504,0.0006,0.0115,0.0811,0.0487,0.04
count,content_leavetoxicout,mlp,0.3661,0.0112,0.7825,0.0073,0.6564,0.0051,0.3129,0.3641,0.3228,0.04
count,content_leavetoxicout,svc,0.3065,0.0159,0.7395,0.0064,0.5988,0.0133,0.2066,0.4096,0.182,0.04
count,content_leavetoxicout,xgb,0.439,0.0075,0.8168,0.005,0.7013,0.0034,0.4031,0.3724,0.4933,0.04
rate,combined,histgb,0.4258,0.0133,0.8093,0.0036,0.6726,0.0041,0.3454,0.4217,0.4351,0.1278
rate,combined,lgbm,0.4298,0.0152,0.8122,0.0046,0.6741,0.0041,0.3483,0.4182,0.4418,0.1278
rate,combined,linsvc,0.463,0.0155,0.8304,0.0058,0.6929,0.0044,0.3864,0.5052,0.4404,0.1278
rate,combined,logreg,0.4614,0.0155,0.8304,0.0059,0.6929,0.005,0.3865,0.5119,0.4366,0.1278
rate,combined,mlp,0.3997,0.014,0.7806,0.0076,0.6344,0.0217,0.2792,0.3702,0.4467,0.1278
rate,combined,svc,0.484,0.0131,0.8107,0.0058,0.6919,0.0046,0.3881,0.5962,0.404,0.1278
rate,combined,xgb,0.4131,0.007,0.8002,0.0045,0.6559,0.0055,0.3147,0.3248,0.4752,0.1278
rate,content,histgb,0.4265,0.0147,0.8103,0.0058,0.6735,0.0054,0.3473,0.407,0.4485,0.1278
rate,content,lgbm,0.4302,0.0122,0.8122,0.0046,0.6763,0.0056,0.3526,0.4327,0.4373,0.1278
rate,content,linsvc,0.4612,0.0155,0.8299,0.0057,0.6927,0.0041,0.3858,0.4955,0.4446,0.1278
