label,model,arm,baseline,delta_auc_pr,ci_lo,ci_hi,excludes_0
count,histgb,combined,content_agnostic,0.3752,0.3686,0.381,True
count,histgb,content,content_agnostic,0.3755,0.3691,0.3817,True
count,histgb,content_agnostic+ban,content_agnostic,0.0001,-0.0003,0.0005,False
count,histgb,content_leavetoxicout,content_agnostic,0.3733,0.367,0.3793,True
count,lgbm,combined,content_agnostic,0.3759,0.3698,0.382,True
count,lgbm,content,content_agnostic,0.3759,0.3697,0.3823,True
count,lgbm,content_agnostic+ban,content_agnostic,0.0006,0.0001,0.001,True
count,lgbm,content_leavetoxicout,content_agnostic,0.3723,0.366,0.3784,True
count,linsvc,combined,content_agnostic,0.2365,0.231,0.2422,True
count,linsvc,content,content_agnostic,0.2237,0.2182,0.2296,True
count,linsvc,content_agnostic+ban,content_agnostic,0.0,-0.0,0.0001,False
count,linsvc,content_leavetoxicout,content_agnostic,-0.0065,-0.0079,-0.0052,True
count,logreg,combined,content_agnostic,0.2325,0.2265,0.2383,True
count,logreg,content,content_agnostic,0.2201,0.2147,0.2262,True
count,logreg,content_agnostic+ban,content_agnostic,0.0,-0.0,0.0001,False
count,logreg,content_leavetoxicout,content_agnostic,-0.0074,-0.0087,-0.0061,True
count,mlp,combined,content_agnostic,0.3601,0.3543,0.3664,True
count,mlp,content,content_agnostic,0.3729,0.3662,0.3797,True
count,mlp,content_agnostic+ban,content_agnostic,-0.0011,-0.0023,0.0001,False
count,mlp,content_leavetoxicout,content_agnostic,0.2989,0.2924,0.3053,True
count,svc,combined,content_agnostic,0.4058,0.3994,0.4124,True
count,svc,content,content_agnostic,0.4059,0.3993,0.4125,True
count,svc,content_agnostic+ban,content_agnostic,-0.0009,-0.0019,-0.0,True
count,svc,content_leavetoxicout,content_agnostic,0.2402,0.2338,0.2462,True
count,xgb,combined,content_agnostic,0.4066,0.4004,0.4132,True
count,xgb,content,content_agnostic,0.4089,0.4028,0.415,True
count,xgb,content_agnostic+ban,content_agnostic,0.0002,-0.0006,0.0009,False
count,xgb,content_leavetoxicout,content_agnostic,0.3715,0.3654,0.3777,True
rate,histgb,combined,content_agnostic,0.2647,0.2546,0.275,True
rate,histgb,content,content_agnostic,0.2661,0.2563,0.2766,True
rate,histgb,content_agnostic+ban,content_agnostic,0.0016,-0.0002,0.0035,False
rate,histgb,content_leavetoxicout,content_agnostic,0.0793,0.0725,0.0864,True
rate,lgbm,combined,content_agnostic,0.2723,0.262,0.2825,True
rate,lgbm,content,content_agnostic,0.2732,0.2632,0.2833,True
rate,lgbm,content_agnostic+ban,content_agnostic,0.0026,0.0008,0.0044,True
rate,lgbm,content_leavetoxicout,content_agnostic,0.0808,0.0742,0.088,True
rate,linsvc,combined,content_agnostic,0.3081,0.2975,0.3181,True
rate,linsvc,content,content_agnostic,0.3063,0.2962,0.3168,True
rate,linsvc,content_agnostic+ban,content_agnostic,0.0018,0.0003,0.0035,True
rate,linsvc,content_leavetoxicout,content_agnostic,0.0963,0.0883,0.1038,True
rate,logreg,combined,content_agnostic,0.3064,0.2962,0.3165,True
rate,logreg,content,content_agnostic,0.3046,0.2947,0.3151,True
rate,logreg,content_agnostic+ban,content_agnostic,0.0017,0.0003,0.0033,True
rate,logreg,content_leavetoxicout,content_agnostic,0.0948,0.0873,0.1022,True
rate,mlp,combined,content_agnostic,0.2489,0.2385,0.2596,True
rate,mlp,content,content_agnostic,0.2494,0.2392,0.2599,True
rate,mlp,content_agnostic+ban,content_agnostic,0.0022,-0.0012,0.0055,False
rate,mlp,content_leavetoxicout,content_agnostic,0.0311,0.0253,0.037,True
rate,svc,combined,content_agnostic,0.3495,0.3388,0.36,True
rate,svc,content,content_agnostic,0.3465,0.3351,0.3576,True
rate,svc,content_agnostic+ban,content_agnostic,0.0038,0.0008,0.007,True
rate,svc,content_leavetoxicout,content_agnostic,0.0698,0.0638,0.0766,True
rate,xgb,combined,content_agnostic,0.2601,0.25,0.2704,True
rate,xgb,content,content_agnostic,0.2596,0.249,0.2697,True
rate,xgb,content_agnostic+ban,content_agnostic,-0.0007,-0.0032,0.0019,False
rate,xgb,content_leavetoxicout,content_agnostic,0.0616,0.055,0.0679,True
