fold,n_test,auc_pr,auc_roc,f1_macro,precision_pos,recall_pos,f1_pos,kappa,threshold,threshold_source,n_val,val_auc_pr,val_auc_roc,model,label,agg_auc_pr,agg_auc_pr_sd,agg_auc_roc
0,6000,0.6321329297819165,0.9646487991898148,0.7897056867184037,0.642512077294686,0.5541666666666667,0.5950782997762863,0.5795000464640833,0.9645610584853282,validation,5400,0.6217831118458419,0.9613166045096022,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
1,6000,0.6413809962053246,0.9702329282407407,0.7918681217479394,0.5212121212121212,0.7166666666666667,0.6035087719298246,0.5842531272994849,0.9540951135134577,validation,5400,0.6439876357276606,0.9622413694558756,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
2,6000,0.6081568349943882,0.9567505787037037,0.7819021010942935,0.5454545454545454,0.625,0.5825242718446602,0.563894523326572,0.9741059319757335,validation,5400,0.6713390743096275,0.9705271919295839,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
3,6000,0.6605308920943156,0.9705598958333334,0.7963181359840474,0.5379746835443038,0.7083333333333334,0.6115107913669064,0.5930057280675309,0.9857762037051383,validation,5400,0.6208047182839231,0.96864104652492,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
4,6000,0.6181475746912077,0.9662058738425926,0.7901701437670781,0.5575539568345323,0.6458333333333334,0.5984555984555985,0.5804421494271421,0.9397580033870193,validation,5400,0.657920590431275,0.9627120127457705,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
5,6000,0.655436635227134,0.9705295138888889,0.7924486060079281,0.5843137254901961,0.6208333333333333,0.602020202020202,0.584913611462284,0.9218344205872497,validation,5400,0.6642320901098067,0.9703789437585734,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
6,6000,0.6166484772573144,0.9680121527777779,0.7909407665505226,0.5571428571428572,0.65,0.6,0.5819935691318328,0.9754065326410322,validation,5400,0.608974520648182,0.9617582233081847,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
7,6000,0.6415168702624555,0.9604694733796297,0.7841286879258166,0.6512820512820513,0.5291666666666667,0.5839080459770115,0.5684310920362422,0.9817423806220443,validation,5400,0.6446731313774161,0.971688171582076,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
8,6000,0.6561871867526824,0.9749913194444445,0.8050218446867422,0.5562700964630225,0.7208333333333333,0.6279491833030852,0.6103550520793735,0.9641332469094337,validation,5400,0.6663321057974801,0.9708513731710106,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
9,6000,0.7036944418739329,0.9743721064814814,0.8158933015445108,0.7277486910994765,0.5791666666666667,0.6450116009280742,0.6319638218031367,0.9666558694989238,validation,5400,0.6709556226749764,0.9671639231824417,distilbert-base-uncased,y_count,0.6433832839140672,0.02782336384542041,0.9676772641782408
