label,arm,model,auc_pr_mean,auc_pr_sd,auc_roc_mean,auc_roc_sd,f1_macro_mean,f1_macro_sd,kappa_mean,recall_pos_mean,precision_pos_mean,baseline_ap
count,combined,histgb,0.4495,0.0024,0.9296,0.0008,0.7146,0.0008,0.4293,0.473,0.4353,0.04
count,combined,lgbm,0.4507,0.0038,0.9301,0.0011,0.7144,0.0017,0.4288,0.4715,0.4357,0.04
count,combined,linsvc,0.34,0.0091,0.8843,0.0033,0.6607,0.0057,0.3214,0.3631,0.3385,0.04
count,combined,logreg,0.3335,0.0082,0.8865,0.003,0.6556,0.0044,0.3112,0.3472,0.3323,0.04
count,combined,mlp,0.4276,0.0089,0.915,0.0004,0.6786,0.0365,0.3601,0.4007,0.4769,0.04
count,combined,svc,0.4512,0.0076,0.899,0.0037,0.6795,0.0138,0.3655,0.6362,0.2961,0.04
count,combined,xgb,0.477,0.0062,0.9324,0.0012,0.7206,0.0046,0.4412,0.4425,0.4846,0.04
count,content,histgb,0.4502,0.0029,0.9296,0.0007,0.7135,0.0016,0.427,0.4644,0.4385,0.04
count,content,lgbm,0.4515,0.0046,0.9302,0.0012,0.7143,0.0025,0.4287,0.4715,0.4352,0.04
count,content,linsvc,0.3273,0.0092,0.8749,0.0038,0.656,0.0044,0.3121,0.3303,0.3487,0.04
count,content,logreg,0.3207,0.0083,0.8786,0.0033,0.6488,0.0044,0.2978,0.308,0.3425,0.04
count,content,mlp,0.4215,0.014,0.9143,0.0032,0.6818,0.0265,0.3659,0.3664,0.5036,0.04
count,content,svc,0.4509,0.0105,0.8986,0.0042,0.6832,0.0109,0.3718,0.6286,0.3006,0.04
count,content,xgb,0.4792,0.0044,0.9327,0.0009,0.7222,0.0017,0.4444,0.4456,0.4875,0.04
rate,combined,histgb,0.4261,0.0138,0.8093,0.005,0.6701,0.0059,0.3404,0.4057,0.4393,0.1278
rate,combined,lgbm,0.4271,0.013,0.8108,0.0053,0.6728,0.0067,0.3457,0.4133,0.4411,0.1278
rate,combined,linsvc,0.4876,0.0151,0.8413,0.0068,0.7004,0.0054,0.4012,0.5166,0.4533,0.1278
rate,combined,logreg,0.4843,0.0152,0.8407,0.0064,0.6986,0.0058,0.3976,0.505,0.4555,0.1278
rate,combined,mlp,0.4179,0.0062,0.7996,0.0059,0.6472,0.0267,0.3036,0.4134,0.4429,0.1278
rate,combined,svc,0.4873,0.0129,0.8136,0.0082,0.6877,0.0078,0.3813,0.6131,0.3917,0.1278
rate,combined,xgb,0.4145,0.011,0.8016,0.0043,0.6535,0.0037,0.3109,0.3118,0.4855,0.1278
rate,content,histgb,0.4252,0.0133,0.8084,0.0047,0.6714,0.0077,0.343,0.4034,0.445,0.1278
rate,content,lgbm,0.4263,0.011,0.8102,0.0054,0.6724,0.0077,0.345,0.41,0.4427,0.1278
rate,content,linsvc,0.4862,0.0153,0.841,0.0067,0.7004,0.0055,0.4013,0.5188,0.4521,0.1278
rate,content,logreg,0.4826,0.0157,0.8404,0.0062,0.6989,0.0054,0.3981,0.5086,0.4542,0.1278
rate,content,mlp,0.4167,0.0156,0.795,0.0045,0.6227,0.0231,0.2618,0.2692,0.5505,0.1278
rate,content,svc,0.4859,0.0131,0.8128,0.0061,0.6906,0.006,0.3867,0.609,0.3995,0.1278
rate,content,xgb,0.4081,0.0092,0.8013,0.0041,0.6499,0.006,0.3038,0.3059,0.4786,0.1278
